If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Abrimos uma conta no Original.,Nubank e Goldman fecham parceria de R$ 200 milhões,Visa lança desafio para startups de tecnologia - Startupi,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?
Itaú Unibanco fecha compra de ativos de varejo do Citi no Brasil,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Abrimos uma conta no Original.,Google lança experimentos com inteligência artificial | Google Discovery,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,Campus São Paulo: conheça a primeira turma do Programa de Residentes
Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Latin America's chronic inefficiency could drive more O2O commerce growth,Time to Re-Think Design Thinking,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Five questions boards should ask about IT in a digital world
Workshop de Design Thinking - Unicamp,Dicas avançadas de ruby (capybara/cucumber),Como Usar o Git e o GitHub,Branding é problema seu. E meu.,Visa inaugura Co-Creation Center em São Paulo,Natura inova e cria bot para auxiliar consumidores a escolherem presentes de natal - Startupi
"Life Coach vs. Therapist, Learn the Difference | Tony Robbins",Qual é o valor da área de T&D na sua empresa?,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Digital Health Coaching,"Para neurociência, motivação não é fator principal em mudança de hábitos",Former Google career coach shares a visual trick for figuring out what to do with your life
Wide & Deep Learning: Better Together with TensorFlow,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Will blockchain drive the fourth Industrial Revolution?,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","Secret's founder returns with Bold, a Medium for enterprise",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
Liberty vai adotar telemetria e baratear seguro para bons motoristas,Mobile Time,The economic essentials of digital strategy,Measuring email effectiveness in retail banking,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,Meet the new Brazilian consumer
Top 15 Facebook Open Source Projects You Must Know,"Don't Start Big, Start a Little Snowball","Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Closure Compiler in JavaScript,Quick Tip: Working with the JavaScript Battery API
Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",Standing on the Shoulders of Giants - Built to Adapt,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Micro Profile JavaEE com Wildfly Swarm,On Orchestrated Microservices - Built to Adapt
"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Learning How to Learn: The Most Important Developer Skill - Free Code Camp,"Autofill: What web devs should know, but don't",Beyond Progressive Web Apps Part 1,The hardest thing in computer science,The Importance of Code Reviews
"An independent organization just ranked Google as the best cloud, beating Amazon",Can Accenture Take Over Advertising?,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Introduction to Natural Language Processing - University of Michigan | Coursera,Google lags behind Amazon and Microsoft's cloud in one important area,The return of the machinery question
An operating model for company-wide agile development,Why the customer experience matters,An operating model for company-wide agile development,Big IT Rising,The economic essentials of digital strategy,Do you want Crappy Agile?
Announcing .NET Core 1.0,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Microsoft expands its support for Docker containers,The next wave in software is open adoption software,Docker 1.12: Now with Built-in Orchestration!
An overview of web service solutions in Drupal 8,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,A New Number Format for Computers Could Nuke Approximation Errors for Good,Acquia Engage Awards Finalists Announced,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Making open source data more available
The AI business landscape,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Machine Learning and the VP Debate,Making open source data more available
Inbox by Gmail ganha formatação de texto | Google Discovery,Ordering coffee in Italy: the 10 commandments,Staying one step ahead at Pixar: An interview with Ed Catmull,Shopping app Spring's redesign could be a game-changer,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",The barbell effect of machine learning.
Good developers take breaks * Greetings Programs,The five phases of migrating to Google Cloud Platform,What to Inspect When You are Inspecting!,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption",The Children's Illustrated Guide to Kubernetes
7 Tips to Create a Company Learning Culture like Google - Without Resources,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,When to make a Git Commit,The Ten Commandments of Egoless Programming,Cubr,"The Languages, Frameworks and Tools You Should Learn in 2017"
Beyond Progressive Web Apps Part 2: We Need to Know What's New,Programming by poking: why MIT stopped teaching SICP,Beyond Progressive Web Apps Part 1,"A whole new GitHub Universe: announcing new tools, forums, and features",Anti-If: The missing patterns,Serverless Data Sync in Web Apps with Bit Torrent
Stackdriver Debugger now works with source code directly in GitHub and Bitbucket,"Secret's founder returns with Bold, a Medium for enterprise",Aplicação de visão computacional com OpenCV,"Bots, Messenger and the future of customer service",Graph Capabilities with the Elastic Stack,Progressive Web App - first introduced on Google I/O | airberlin
Bring Your App To Life with CALayers,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Android Studio 2.2,"Don't Start Big, Start a Little Snowball",Cubr,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
Grupo de bancos adere à tecnologia do bitcoin em transações,Measuring email effectiveness in retail banking,"Em 2017 será possível ignorar totalmente o cartão físico, garante Itaú",Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Google Cloud Goes to the Farm
Shopping app Spring's redesign could be a game-changer,Ordering coffee in Italy: the 10 commandments,This Super Accurate Portrait Selection Tech Uses Neural Networks,Artificial intelligence is changing SEO faster than you think,Staying one step ahead at Pixar: An interview with Ed Catmull,The barbell effect of machine learning.
Assessing Salesforce's platform and ecosystem | ZDNet,The new tech talent you need to succeed in digital,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Meet the new Brazilian consumer,The economic essentials of digital strategy,How to Create an Exponential Mindset
Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Post: Just Say mNo to Hungarian Notation,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,Things you probably didn't know you could do with Chrome's Developer Console,Why Learning Angular 2 Was Excruciating
A digital crack in banking's business model,Mobile marketing statistics 2016,"No Brasil, '25% dos celulares ainda são 'Burrofones'",The End Of Apps As We Know Them - Inside Intercom,The rise of APIs,Confused by blockchains? Revolution vs Evolution
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Este texto do Ranieri é a melhor coisa que você lerá hoje,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Agronegócio mantém crescimento com tecnologia - inova.jor
Como são escrita as risadas em japonês? - Suki Desu,Learn Hiragana: The Ultimate Guide,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,The Best Linux Distros of 2016,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),The Children's Illustrated Guide to Kubernetes
Digital Health Coaching,Qual é o valor da área de T&D na sua empresa?,Psicóloga de Harvard diz que as pessoas julgam você em segundos por esses critérios | Jornal do Empreendedor,Cinco competências comportamentais para você ser um bom líder,Investimentos em coaching e mentoring aumentam nas empresas,How to augment your career with leadership coaching
Google lança experimentos com inteligência artificial | Google Discovery,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Blaise Agüera y Arcas: How computers are learning to be creative,Transfer Style But Not Color,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Gartner: em 2020 não haverá mais aplicativos
The Importance of Code Reviews,Ordering coffee in Italy: the 10 commandments,Clean Coder Blog,This Super Accurate Portrait Selection Tech Uses Neural Networks,Up your app's sharing game with DirectShare - Google Developers,Lists are the new search
Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google lança YouTube Kids no Brasil | Google Discovery,Powering a more connected and collaborative enterprise,Transfer Style But Not Color,Acesse a versão Material Design do YouTube | Google Discovery
